"Зины Портновой ул., д.28",385\205,"421,55\236,6",9\15
"Зины Портновой ул., д.30",149\171,"243,3\258,1",63\51
"Зои Космодемьянской ул., д.3","195,7\267","231,04\303,5",18\14
"Зои Космодемьянской ул., д.5","609,8\241","695,47\280,3",14\16
"Зои Космодемьянской ул., д.6, к.1","370,15\161","513\205,75",39\28
"Зои Космодемьянской ул., д.8/17",57\36,"225,55\176,4",296\390
"Зои Космодемьянской ул., д.16/24","46,97\31","57,56\44,1",23\42
"Зои Космодемьянской ул., д.17/26","170,19\103","194,93\118,6",15\15
"Зои Космодемьянской ул., д.21",75\58,"162,8\61,85",117\7
"Зои Космодемьянской ул., д.23",103\42,"156,45\38,6",52\-8
"Зои Космодемьянской ул., д.25/20",46\44,"81,5\21,05",77\-52
"Зои Космодемьянской ул., д.29",34\14,"38,4\17,25",13\23
"Ивана Черных ул., д.1","19,14\25","13,79\13,55",-28\-46
"Ивана Черных ул., д.3",175\89,"198,3\105,3",13\18
"Ивана Черных ул., д.3, к.2",185\98,"196,9\102,9",6\5
"Ивана Черных ул., д.13а",86\95,"126,5\119",47\25
"Ивана Черных ул., д.13б",137\149,"321,35\276,4",135\86
"Ивана Черных ул., д.15а",235\166,"260,65\195,05",11\18
"Ивана Черных ул., д.15б",18\16,"28,7\34",59\113
"Ивана Черных ул., д.19",96\127,"140,8\135,8",47\7
"Канонерский о., д.7",5627\2841,"8115,1\4126,2",44\45
"Канонерский о., д.8",3897\1331,"4784,35\1672,3",23\26
"Канонерский о., д.9",2250\960,"3085,5\1319,25",37\37
"Канонерский о., д.10",2900\1205,"3151,5\1253,25",9\4
"Канонерский о., д.12",360\182,"684,25\346",90\90
"Канонерский о., д.12, к.2",584\325,"653,4\356,1",12\10
"Канонерский о., д.13",207\257,"386,45\363,8",87\42
"Канонерский о., д.14",186\252,"400,05\338,95",115\35
"Канонерский о., д.15","401,508\0","401,51\0",0\-
"Канонерский о., д.16",158\116,"184,65\139,4",17\20
"Канонерский о., д.17",55\28,"46,05\22,45",-16\-20
"Канонерский о., д.25",305\57,"333,8\162,4",9\185
"Корнеева ул., д.2","405,65\234","339,48\352,55",-16\51
"Корнеева ул., д.6",1468\364,"1661,98\371,9",13\2
"Косинова ул., д.5","147,056\0",1958\714,1231\-
"Косинова ул., д.7","15,64\20","44,16\16,3",182\-19
"Косинова ул., д.9/9",79\45,"20,15\36,2",-74\-20
"Косинова ул., д.14, к.1",208\278,"445,55\452,2",114\63
"Косинова ул., д.14, к.2",125\210,"303,9\413,2",143\97
"Краснопутиловская ул., д.16/13","825,6\464","984,27\580,6",19\25
"Краснопутиловская ул., д.18",66\45,"119,15\73,1",81\62
"Краснопутиловская ул., д.20","228,65\140","344,68\226,8",51\62
"Краснопутиловская ул., д.26","467,84\277","790,3\365,8",69\32
"Краснопутиловская ул., д.28/20","399,36\211","506,74\270,4",27\28
"Ленинский пр., д.110, к.1а",479\263,"622,7\525,55",30\100
"Ленинский пр., д.110, к.1б",1719\1647,"2532,95\2686,75",47\63
"Ленинский пр., д.120, к.2","230,812\0",122\91,-47\-
"Ленинский пр., д.124","2324,53\1141","2516,9\1245,85",8\9
"Ленинский пр., д.130, к.2",873\421,"1036,1\591,9",19\41
"Майков пер., д.3","125,216\0",75\54,-40\-
"Майков пер., д.5а","43,953\0","43,95\0",0\-
"Майков пер., д.7/1",94\48,"148\74,5",57\55
"Маршала Говорова ул., д.3/7","340,4\0","404,2\0",19\-
"Маршала Говорова ул., д.5/4","284,83\232","432,57\369,45",52\59
"Маршала Говорова ул., д.6/5","230,3\187","363,59\262,35",58\40
"Маршала Говорова ул., д.7",214\150,"245,7\163,15",15\9
"Маршала Говорова ул., д.11/3","197,8\38","160,26\40,45",-19\6
"Маршала Говорова ул., д.15","38,48\77","65,27\105,75",70\37
"Маршала Говорова ул., д.16",3461\1375,"3395,4\1298,15",-2\-6
"Маршала Говорова ул., д.17","101,37\122","143,08\141,3",41\16
"Маршала Говорова ул., д.21",186\124,"356,75\225,9",92\82
"Маршала Говорова ул., д.22, к.2","98,75\86","102,23\98,25",4\14
"Маршала Говорова ул., д.23",235\139,"316,55\164,95",35\19
"Маршала Говорова ул., д.24",538\396,"573,35\433,8",7\10
"Маршала Говорова ул., д.26, к.2",303\157,"368,35\188,85",22\20
"Маршала Жукова пр., д.18а",849\376,"1108,95\477,2",31\27
"Маршала Жукова пр., д.18б","1421,02\769","2186,86\1136,6",54\48
"Маршала Жукова пр., д.18в",2125\1256,"2970,85\1791,6",40\43
"Маршала Жукова пр., д.18г","852,28\575","1388,15\1025",63\78
"Маршала Жукова пр., д.18д",781\516,"1130,65\715,1",45\39
"Маршала Жукова пр., д.26/16а",614\518,"940,45\735,25",53\42
"Маршала Жукова пр., д.26/16б","1481,72\873","1789,11\1080,3",21\24
"Маршала Жукова пр., д.26/16в","1300,38\914","1803,85\1428,6",39\56
"Маршала Жукова пр., д.28, к.1","1463,64\976","2093,29\1581,9",43\62
"Маршала Жукова пр., д.30, к.2а",900\570,1158\882,29\55
"Маршала Жукова пр., д.30, к.2б",204\91,"106,5\100,05",-48\10
"Маршала Жукова пр., д.30, к.2в",2299\1240,"3430\2033,95",49\64
"Маршала Жукова пр., д.30, к.2г",944\714,"1407,45\1078,25",49\51
"Маршала Жукова пр., д.30, к.2д",2203\1213,"3193,25\2037,55",45\68
"Маршала Жукова пр., д.30, к.2е",665\524,"1045\909,05",57\73
"Маршала Жукова пр., д.30, к.2ж",1566\1108,"1925,3\1378,95",23\24
