"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","113,444\104,5","115,34\114",2\9
"МАРШАЛА ГОВОРОВА УЛ., д.23","180,7\89,3",179\88,-1\-1
"МАРШАЛА ГОВОРОВА УЛ., д.24","481,9\328,2",405\286,-16\-13
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","428,9\218,9",346\177,-19\-19
"МАРШАЛА ЖУКОВА ПР., д.18А","985,3\479,8",910\419,-8\-13
"МАРШАЛА ЖУКОВА ПР., д.18Б","2589,98\1273,4","2879,91\1623",11\27
"МАРШАЛА ЖУКОВА ПР., д.18В","2702,9\1583,4",2428\1426,-10\-10
"МАРШАЛА ЖУКОВА ПР., д.18Г","1348,07\911","1205,4\1007",-11\11
"МАРШАЛА ЖУКОВА ПР., д.18Д","999,1\575,4",1005\555,1\-4
"МАРШАЛА ЖУКОВА ПР., д.26/16А","809,3\551,5",779\544,-4\-1
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1766,87\986,2","1704,29\858",-4\-13
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1603,22\1110,4","1385,16\952",-14\-14
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1955,4\1316,6","1782,62\1213",-9\-8
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",1212\798,1170\780,-3\-2
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","195\105,7",626\168,221\59
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","3555\2202,3",3117\1873,-12\-15
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1494,3\1037,5",1472\1149,-1\11
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","2963,5\1790,7",2982\1756,1\-2
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","1279\930,7",1052\904,-18\-3
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1802,2\1121,3",1792\1205,-1\7
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","3895,85\1932,5","3385,3\1793",-13\-7
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","1599,2\575,2",1493\1738,-7\202
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",319\64,336\63,5\-2
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","2019,9\1581,9",1853\1523,-8\-4
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","1053,87\776,3","940,8\715",-11\-8
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",617\124,648\121,5\-2
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","936,5\188,5",986\184,5\-2
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1394,4\1029,3",1236\992,-11\-4
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1449,1\650,5",1231\564,-15\-13
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","557,01\490,5","462,6\442",-17\-10
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1141,26\903,9",990\830,-13\-8
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1213,05\1013","964,26\905",-21\-11
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","946,418\605,3","841,5\600",-11\-1
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1303,19\724,4","1300,86\728",0\0
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","960,601\889","749,43\833",-22\-6
"МАРШАЛА КАЗАКОВА УЛ., д.13","2330,06\788,6","2382,93\712",2\-10
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","335,35\273,6","183,35\187",-45\-32
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","90,5\59,5","84,33\56",-7\-6
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","1805,2\1171",1692\1213,-6\4
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1027,16\494,5","1471,46\482",43\-3
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","1901,3\974,8",1821\929,-4\-5
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1302,2\757,4",1274\712,-2\-6
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","386,4\173,7",401\178,4\2
"НОВАТОРОВ БУЛЬВАР, д.1","215,91\215,2","118,8\145",-45\-33
"НОВАТОРОВ БУЛЬВАР, д.3","136,4\74,5",115\81,-16\9
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","37,1\21,5",53\35,43\63
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","36,5\17,9",32\20,-12\12
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2",35\17,33\19,-6\12
"НОВОСТРОЕК УЛ., д.8","32,4\16,9",17\9,-48\-47
"НОВОСТРОЕК УЛ., д.20","215,5\131,9",206\129,-4\-2
"НОВОСТРОЕК УЛ., д.25","230,435\137,3",238\140,3\2
"НОВОСТРОЕК УЛ., д.27","34,3\19,2",47\26,37\35
"НОВОСТРОЕК УЛ., д.28","112,7\55,5",93\57,-17\3
"НОВОСТРОЕК УЛ., д.29","192,61\88,9","147,9\87",-23\-2
"НОВОСТРОЕК УЛ., д.31","159,8\95","209,1\126",31\33
"НОВОСТРОЕК УЛ., д.33","203,5\133,6",193\146,-5\9
"НОВОСТРОЕК УЛ., д.35","284,325\181,1","318,75\188",12\4
"ОБОРОННАЯ УЛ., д.3","213,4\151,6",123\128,-42\-16
"ОБОРОННАЯ УЛ., д.4","1015,2\559,9",759\380,-25\-32
"ОБОРОННАЯ УЛ., д.5","488\325,8",356\270,-27\-17
"ОБОРОННАЯ УЛ., д.6",",01\5,3",1\0,9900\-100
"ОБОРОННАЯ УЛ., д.7/20","263,3\138,3",292\115,11\-17
"ОБОРОННАЯ УЛ., д.14","94,1\51,7",89\45,-5\-13
"ОБОРОННАЯ УЛ., д.17/13","89,8\43,7",84\45,-6\3
"ОБОРОННАЯ УЛ., д.19","84,8\40,2",82\82,-3\104
"ОБОРОННАЯ УЛ., д.20/18","101,9\58,2",66\41,-35\-30
"ОБОРОННАЯ УЛ., д.23/17","50,3\25,9",74\16,47\-38
"ОБОРОННАЯ УЛ., д.27","93,4\47,8",63\33,-33\-31
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","322,7\235,4",291\227,-10\-4
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","235,3\120",403\201,71\68
"ОГОРОДНЫЙ ПЕР., д.6, корп.2",390\194,390\194,0\0
"ОГОРОДНЫЙ ПЕР., д.11",84\32,119\39,42\22
"ПРОМЫШЛЕННАЯ УЛ., д.12","58,6\44,9",43\38,-27\-15
"ПРОМЫШЛЕННАЯ УЛ., д.26","139,8\78,5",136\103,-3\31
"ПРОМЫШЛЕННАЯ УЛ., д.28","148,7\75",115\56,-23\-25
"ПРОМЫШЛЕННАЯ УЛ., д.30","16,7\7,9",20\34,20\330
"ПРОМЫШЛЕННАЯ УЛ., д.34","80,4\50,3",53\41,-34\-18
"ПРОМЫШЛЕННАЯ УЛ., д.36","41,1\20,1",29\15,-29\-25
"ПРОМЫШЛЕННАЯ УЛ., д.38","19,3\9,6",29\32,50\233
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","93,9\46,9",96\48,2\2
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","32,4\18,4",53\13,64\-29
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43","22,2\15,6",20\0,-10\-100
"СТАЧЕК ПР., д.1","563,1\158,4","547,97\80",-3\-49
"СТАЧЕК ПР., д.2/2","109,2\61,2",73\38,-33\-38
"СТАЧЕК ПР., д.4/1",156\92,136\83,-13\-10
"СТАЧЕК ПР., д.6","74,06\72,1","65,32\65",-12\-10
"СТАЧЕК ПР., д.8/2","8,3\16,8",37\32,346\90
"СТАЧЕК ПР., д.8А","157,16\0","157,16\0",0\-
"СТАЧЕК ПР., д.9","357,3\230,7",287\237,-20\3
"СТАЧЕК ПР., д.10","165,1\154,4",207\185,25\20
"СТАЧЕК ПР., д.11","270,502\262,4","177,12\241",-35\-8
"СТАЧЕК ПР., д.15",92\67,55\47,-40\-30
"СТАЧЕК ПР., д.17","626,64\320,4","588,166\307",-6\-4
"СТАЧЕК ПР., д.19","1279,9\667,7",720\415,-44\-38
"СТАЧЕК ПР., д.21","2567,07\1027,4","1738,44\655",-32\-36
"СТАЧЕК ПР., д.22","84,8\67,3",80\73,-6\8
"СТАЧЕК ПР., д.22А","893,3\336,6",832\899,-7\167
"СТАЧЕК ПР., д.23","1046,6\546",722\379,-31\-31
"СТАЧЕК ПР., д.24",547\286,547\286,0\0
"СТАЧЕК ПР., д.27",26\20,8\12,-69\-40
"СТАЧЕК ПР., д.29","283,3\173,6",147\122,-48\-30
"СТАЧЕК ПР., д.33/2","40,8\40",37\35,-9\-13
"СТАЧЕК ПР., д.34, корп.1",97\60,105\76,8\27
"СТАЧЕК ПР., д.34, корп.2","52,2\31,5",37\26,-29\-17
"СТАЧЕК ПР., д.35","68,7\44,3",66\50,-4\13
"СТАЧЕК ПР., д.38","40,7\20,8",30\15,-26\-28
"СТАЧЕК ПР., д.41","397,2\264,7",238\175,-40\-34
"СТАЧЕК ПР., д.42",17\25,33\39,94\56
"СТАЧЕК ПР., д.95, корп.1","2710,5\1524,1",2387\1392,-12\-9
"СТАЧЕК ПР., д.101, корп.1А","1486,38\864,3","1314,72\674",-12\-22
"СТАЧЕК ПР., д.101, корп.1Б","995,601\863,9","1145,43\1190",15\38
