"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","1256,7\732","1130,7\647","-10\-12"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1804\1266","1709,2\1219","-5\-4"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1715,2\1044","1485,69\967","-13\-7"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","1909\1274","899,38\653","-53\-49"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1689,08\1039","1267,79\0","-25\-100"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","1144,81\933","1093,18\875","-5\-6"
"МАРШАЛА КАЗАКОВА УЛ., д.13","722\416","639\393","-11\-6"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","0\399","263,15\232","-\-42"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","117\66","107\88","-9\33"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","2241\1350","1707\1130","-24\-16"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1263,8\433","1312,96\418","4\-3"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","2073\1108","1679\947","-19\-15"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1496\902","1291\767","-14\-15"
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","512\244","512\187","0\-23"
"НОВАТОРОВ БУЛЬВАР, д.1","144\135","168,3\195","17\44"
"НОВАТОРОВ БУЛЬВАР, д.3","123\71","147\90","20\27"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","83\36","83\36","0\0"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","101\52","68\35","-33\-33"
"НОВОСТРОЕК УЛ., д.8","102\55","84\49","-18\-11"
"НОВОСТРОЕК УЛ., д.20","151\106","174\123","15\16"
"НОВОСТРОЕК УЛ., д.25","140,25\82","135,15\78","-4\-5"
"НОВОСТРОЕК УЛ., д.27","50\27","29\18","-42\-33"
"НОВОСТРОЕК УЛ., д.28","122\68","120\69","-2\1"
"НОВОСТРОЕК УЛ., д.29","92,65\60","103,7\56","12\-7"
"НОВОСТРОЕК УЛ., д.31","289,41\0","281,9\0","-3\-"
"НОВОСТРОЕК УЛ., д.33","96\60","107\71","11\18"
"НОВОСТРОЕК УЛ., д.35","192,1\121","208,25\121","8\0"
"ОБОРОННАЯ УЛ., д.3","126\85","144\115","14\35"
"ОБОРОННАЯ УЛ., д.4","662\300","585\308","-12\3"
"ОБОРОННАЯ УЛ., д.5","357\230","344\309","-4\34"
"ОБОРОННАЯ УЛ., д.6","77\17","180\63","134\271"
"ОБОРОННАЯ УЛ., д.7/20","43\29","52\39","21\34"
"ОБОРОННАЯ УЛ., д.14","82\41","75\38","-9\-7"
"ОБОРОННАЯ УЛ., д.15","1\1","1\1","0\0"
"ОБОРОННАЯ УЛ., д.17/13","111\62","123\70","11\13"
"ОБОРОННАЯ УЛ., д.19","116\71","57\29","-51\-59"
"ОБОРОННАЯ УЛ., д.20/18","52\31","58\36","12\16"
"ОБОРОННАЯ УЛ., д.23/17","74\38","81\41","9\8"
"ОБОРОННАЯ УЛ., д.27","73\38","55\36","-25\-5"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","432\273","222\178","-49\-35"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","191\95","188\93","-2\-2"
"ПРОМЫШЛЕННАЯ УЛ., д.12","74\56","58\60","-22\7"
"ПРОМЫШЛЕННАЯ УЛ., д.26","296\154","169\93","-43\-40"
"ПРОМЫШЛЕННАЯ УЛ., д.28","45\22","27\13","-40\-41"
"ПРОМЫШЛЕННАЯ УЛ., д.30","14\7","11\7","-21\0"
"ПРОМЫШЛЕННАЯ УЛ., д.34","85\45","79\54","-7\20"
"ПРОМЫШЛЕННАЯ УЛ., д.36","60\29","70\35","17\21"
"ПРОМЫШЛЕННАЯ УЛ., д.38","7\5","50\4","614\-20"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","110\54","117\60","6\11"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","27\15","34\23","26\53"
"СТАЧЕК ПР., д.1","525\500","439\478","-16\-4"
"СТАЧЕК ПР., д.2/2","84\44","66\102","-21\132"
"СТАЧЕК ПР., д.4/1","163,4\0","195,65\0","20\-"
"СТАЧЕК ПР., д.6","112,24\53","78,2\35","-30\-34"
"СТАЧЕК ПР., д.8/2","37\30","24\25","-35\-17"
"СТАЧЕК ПР., д.8А","504\131","406\120","-19\-8"
"СТАЧЕК ПР., д.9","331\168","425\217","28\29"
"СТАЧЕК ПР., д.10","104\120","77\120","-26\0"
"СТАЧЕК ПР., д.11","229,272\193","252,89\275","10\42"
"СТАЧЕК ПР., д.17","222,99\112","131,303\65","-41\-42"
"СТАЧЕК ПР., д.19","1502\642","1244\546","-17\-15"
"СТАЧЕК ПР., д.21","3702,56\1551","2813,64\1173","-24\-24"
"СТАЧЕК ПР., д.22","196\145","128\122","-35\-16"
"СТАЧЕК ПР., д.22А","833\322","740\280","-11\-13"
"СТАЧЕК ПР., д.23","857\452","693\368","-19\-19"
"СТАЧЕК ПР., д.24","221,69\0","265,447\0","20\-"
"СТАЧЕК ПР., д.29","231\146","285\184","23\26"
"СТАЧЕК ПР., д.33/2","60\50","70\76","17\52"
"СТАЧЕК ПР., д.34, корп.2","85\54","49\36","-42\-33"
"СТАЧЕК ПР., д.35","97\63","73\66","-25\5"
"СТАЧЕК ПР., д.41","716\477","696\497","-3\4"
"СТАЧЕК ПР., д.42","26\38","45\41","73\8"
"СТАЧЕК ПР., д.95, корп.1","3597\2167","2539\1580","-29\-27"
"СТАЧЕК ПР., д.101, корп.1А","1352,58\883","1360,33\936","1\6"
"СТАЧЕК ПР., д.101, корп.1Б","711,75\681","635,34\670","-11\-2"
"СТАЧЕК ПР., д.101, корп.1В","1817\1171","2069\1229","14\5"
"СТАЧЕК ПР., д.101, корп.1Г","963\925","956\980","-1\6"
"СТАЧЕК ПР., д.101, корп.1Д","1139\710","1270\808","12\14"
"СТАЧЕК ПР., д.102","27\24","36\34","33\42"
"СТАЧЕК ПР., д.103, корп.1","1717,72\1855","1795,63\2053","5\11"
"СТАЧЕК ПР., д.105, корп.2А","1064\687","813\535","-24\-22"
"СТАЧЕК ПР., д.105, корп.2Б","2028,37\1626","1393,74\1191","-31\-27"
"СТАЧЕК ПР., д.105, корп.2В","3208\1662","2639\1272","-18\-23"
"СТАЧЕК ПР., д.105, корп.2Г","1436\1138","890\766","-38\-33"
"СТАЧЕК ПР., д.105, корп.2Д","3141,93\2251","2387,13\1650","-24\-27"
"СТАЧЕК ПР., д.105, корп.2Е","1955,44\1342","1427,63\959","-27\-29"
"СТАЧЕК ПР., д.105, корп.2Ж","3235\1743","2629,7\1314","-19\-25"
"СТАЧЕК ПР., д.105, корп.2З","1968,2\1677","1450,39\1256","-26\-25"
"СТАЧЕК ПР., д.107, корп.1","1515,88\794","1275,8\707","-16\-11"
"ТРАКТОРНАЯ УЛ., д.3","239,324\0","239,32\0","0\-"
"ТРАКТОРНАЯ УЛ., д.4","69\39","58\36","-16\-8"
"ТРАКТОРНАЯ УЛ., д.4А","180\166","128\156","-29\-6"
"ТРАКТОРНАЯ УЛ., д.5","212\129","187\121","-12\-6"
"ТРАКТОРНАЯ УЛ., д.6","48\49","40\51","-17\4"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","32\21","37\27","16\29"
"ТРАКТОРНАЯ УЛ., д.7","118\85","88\88","-25\4"
"ТРАКТОРНАЯ УЛ., д.8","58\73","43\74","-26\1"
"ТРАКТОРНАЯ УЛ., д.9","211\161","136\133","-36\-17"
"ТРАКТОРНАЯ УЛ., д.10","41\45","43\43","5\-4"
"ТРАКТОРНАЯ УЛ., д.12","140\180","55\129","-61\-28"
"ТРАКТОРНАЯ УЛ., д.13","122\54","94\89","-23\65"
"ТРАКТОРНАЯ УЛ., д.15","175\111","185\123","6\11"
"ТРАМВАЙНЫЙ ПР., д.5","229,52\0","229,52\0","0\-"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","108\102","131\165","21\62"
