"ДВИНСКАЯ УЛ., д.15",1834\812,2378\930,30\15
"ДВИНСКАЯ УЛ., д.16, корп.1",3016\768,2706\1134,-10\48
"ДВИНСКАЯ УЛ., д.16, корп.3",1965\937,2025\999,3\7
"ДВИНСКАЯ УЛ., д.17",461\324,528\274,15\-15
"ЗАЙЦЕВА УЛ., д.3",530\538,695\680,31\26
"ЗАЙЦЕВА УЛ., д.17/23",1364\591,1129\570,-17\-4
"ЗАЙЦЕВА УЛ., д.18/16",106\60,162\99,53\65
"ЗАЙЦЕВА УЛ., д.19/18",129\124,198\198,53\60
"ЗАЙЦЕВА УЛ., д.20",281\249,240\151,-15\-39
"ЗАЙЦЕВА УЛ., д.21",42\22,41\22,-2\0
"ЗАЙЦЕВА УЛ., д.22/13",1201\516,1105\515,-8\0
"ЗАЙЦЕВА УЛ., д.25",60\56,60\62,0\11
"ЗАЙЦЕВА УЛ., д.26",249\0,249\0,0\-
"ЗАЙЦЕВА УЛ., д.29",10\18,4\12,-60\-33
"ЗАЙЦЕВА УЛ., д.31",94\119,214\141,128\18
"ЗАЙЦЕВА УЛ., д.32",139\62,278\276,100\345
"ЗАЙЦЕВА УЛ., д.33",171\122,283\211,65\73
"ЗАЙЦЕВА УЛ., д.34",159\84,109\53,-31\-37
"ЗАЙЦЕВА УЛ., д.36",281\172,294\180,5\5
"ЗАЙЦЕВА УЛ., д.37",188\64,119\35,-37\-45
"ЗАЙЦЕВА УЛ., д.39",146\127,131\106,-10\-17
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","171,7\0",172\0,0\-
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6",89\147,206\243,131\65
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8",140\141,196\135,40\-4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10",50\75,86\149,72\99
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",93\132,104\157,12\19
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14",165\155,209\211,27\36
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16",392\192,452\230,15\20
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18",85\100,129\171,52\71
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20",4\5,10\22,150\340
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22",22\31,27\42,23\35
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24",47\82,53\118,13\44
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26",72\100,73\122,1\22
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28",268\133,308\155,15\17
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30",121\128,156\168,29\31
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3",190\150,156\127,-18\-15
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5",776\372,833\355,7\-5
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1",483\189,406\176,-16\-7
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17",19\2,22\7,16\250
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15",116\60,91\48,-22\-20
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24",86\59,111\41,29\-31
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26",88\47,52\33,-41\-30
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21",207\78,170\60,-18\-23
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23",46\3,48\34,4\1033
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20",94\49,89\46,-5\-6
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27",114\102,115\104,1\2
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29",17\24,3\25,-82\4
"ИВАНА ЧЕРНЫХ УЛ., д.1",1\0,121\55,12000\-
"ИВАНА ЧЕРНЫХ УЛ., д.3",178\116,215\139,21\20
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2",87\50,115\61,32\22
"ИВАНА ЧЕРНЫХ УЛ., д.13А",92\66,105\65,14\-2
"ИВАНА ЧЕРНЫХ УЛ., д.13Б",216\153,196\144,-9\-6
"ИВАНА ЧЕРНЫХ УЛ., д.15А",99\53,193\110,95\108
"ИВАНА ЧЕРНЫХ УЛ., д.15Б",46\40,54\49,17\23
"ИВАНА ЧЕРНЫХ УЛ., д.19",98\115,133\165,36\43
"ИВАНА ЧЕРНЫХ УЛ., д.21",80\40,23\11,-71\-73
"КАНОНЕРСКИЙ ОСТРОВ, д.7",7375\3421,5700\2851,-23\-17
