"Зои Космодемьянской ул., д.29","38,4\17,25","39,4\120,25",3\597
"Ивана Черных ул., д.1","13,79\13,55","80,78\53,55",486\295
"Ивана Черных ул., д.3","198,3\105,3","213,3\79,3",8\-25
"Ивана Черных ул., д.3, к.2","196,9\102,9","175,9\93,9",-11\-9
"Ивана Черных ул., д.13а","126,5\119","112,5\96",-11\-19
"Ивана Черных ул., д.13б","321,35\276,4","294,35\245,4",-8\-11
"Ивана Черных ул., д.15а","260,65\195,05","226,65\152,05",-13\-22
"Ивана Черных ул., д.15б","28,7\34","27,7\26",-3\-24
"Ивана Черных ул., д.19","140,8\135,8","151,8\124,8",8\-8
"Канонерский о., д.7","8115,1\4126,2","7088,1\3615,2",-13\-12
"Канонерский о., д.8","4784,35\1672,3","4343,4\1495,3",-9\-11
"Канонерский о., д.9","3085,5\1319,25","2395,5\929,25",-22\-30
"Канонерский о., д.10","3151,5\1253,25","3231,5\1348,3",3\8
"Канонерский о., д.12","684,25\346","772,25\401",13\16
"Канонерский о., д.12, к.2","653,4\356,1","706,4\369,1",8\4
"Канонерский о., д.13","386,45\363,8","417,45\354,8",8\-2
"Канонерский о., д.14","400,05\338,95","378,05\307,95",-5\-9
"Канонерский о., д.15","401,51\0","401,51\0",0\-
"Канонерский о., д.16","184,65\139,4","173,65\111,4",-6\-20
"Канонерский о., д.25","333,8\162,4","247,8\86,4",-26\-47
"Корнеева ул., д.2","339,48\352,55","425,03\345,55",25\-2
"Корнеева ул., д.6","1661,98\371,9","1905,2\435,9",15\17
"Косинова ул., д.5",1958\714,2069\760,6\6
"Косинова ул., д.7","44,16\16,3","28,52\18,3",-35\12
"Косинова ул., д.9/9","20,15\36,2","62,15\50,2",208\39
"Косинова ул., д.14, к.1","445,55\452,2","440,55\342,2",-1\-24
"Косинова ул., д.14, к.2","303,9\413,2","214,9\319,2",-29\-23
"Краснопутиловская ул., д.16/13","984,27\580,6","1096,9\640,6",11\10
"Краснопутиловская ул., д.18","119,15\73,1","140,15\88,1",18\21
"Краснопутиловская ул., д.20","344,68\226,8","283,48\188,8",-18\-17
"Краснопутиловская ул., д.26","790,3\365,8","502,2\289,8",-36\-21
"Краснопутиловская ул., д.28/20","506,74\270,4","260,02\239,4",-49\-11
"Ленинский пр., д.110, к.1а","622,7\525,55","620,7\572,55",0\9
"Ленинский пр., д.110, к.1б","2532,95\2686,75","2983,95\2452,75",18\-9
"Ленинский пр., д.120, к.2",122\91,254\173,108\90
"Ленинский пр., д.124","2516,9\1245,85","4083,05\1899,85",62\52
"Ленинский пр., д.130, к.2","1036,1\591,9","1238,1\698,9",19\18
"Майков пер., д.3",75\54,"125,22\0",67\-100
"Майков пер., д.5а","43,95\0",154\84,250\-
"Майков пер., д.7/1","148\74,5","98\50,5",-34\-32
"Маршала Говорова ул., д.3/7","404,2\0","404,2\0",0\-
"Маршала Говорова ул., д.5/4","432,57\369,45","378,88\312,45",-12\-15
"Маршала Говорова ул., д.6/5","363,59\262,35","334,45\242,35",-8\-8
"Маршала Говорова ул., д.7","245,7\163,15","300,7\185,15",22\13
"Маршала Говорова ул., д.11/3","160,26\40,45","171,3\35,45",7\-12
"Маршала Говорова ул., д.15","65,27\105,75","70,45\104,75",8\-1
"Маршала Говорова ул., д.16","3395,4\1298,15","4204,4\1549,2",24\19
"Маршала Говорова ул., д.17","143,08\141,3","125,41\114,3",-12\-19
"Маршала Говорова ул., д.21","356,75\225,9","340,75\186,9",-4\-17
"Маршала Говорова ул., д.22/10",,460\338,-\-
"Маршала Говорова ул., д.22, к.2","102,23\98,25","140,94\132,25",38\35
