"Маршала Говорова ул., д.26, к.2",190\97,218\113,15\16
"Маршала Жукова пр., д.18а",1162\514,1149\551,-1\7
"Маршала Жукова пр., д.18б","3055,8\1472","2851,56\1372",-7\-7
"Маршала Жукова пр., д.18в",3062\1524,2976\1686,-3\11
"Маршала Жукова пр., д.18г",1764\989,"1526,56\1021",-13\3
"Маршала Жукова пр., д.18д",1427\767,1249\713,-12\-7
"Маршала Жукова пр., д.26/16а",1108\854,1040\785,-6\-8
"Маршала Жукова пр., д.26/16б","1905,4\1033","1762,39\1003",-8\-3
"Маршала Жукова пр., д.26/16в","2744,4\1892","1981,18\1544",-28\-18
"Маршала Жукова пр., д.28, к.1","2806,9\1933","1965,58\1473",-30\-24
"Маршала Жукова пр., д.30, к.2а",1530\930,1440\990,-6\6
"Маршала Жукова пр., д.30, к.2б",632\168,651\179,3\7
"Маршала Жукова пр., д.30, к.2в",3969\1977,3565\2159,-10\9
"Маршала Жукова пр., д.30, к.2г",2203\1357,1961\1490,-11\10
"Маршала Жукова пр., д.30, к.2д",3571\1924,3349\1969,-6\2
"Маршала Жукова пр., д.30, к.2е",1586\1119,1483\1126,-6\1
"Маршала Жукова пр., д.30, к.2ж",2165\1203,1995\1218,-8\1
"Маршала Жукова пр., д.32, к.1","5152,9\2062","4320,01\2199",-16\7
"Маршала Жукова пр., д.34, к.1а",2051\1389,1750\1194,-15\-14
"Маршала Жукова пр., д.34, к.1б",353\74,331\154,-6\108
"Маршала Жукова пр., д.34, к.1в",2415\1899,2260\1745,-6\-8
"Маршала Жукова пр., д.34, к.1г",1392\974,"1081,6\835",-22\-14
"Маршала Жукова пр., д.34, к.1д",680\142,640\298,-6\110
"Маршала Жукова пр., д.34, к.1е",1034\216,970\453,-6\110
"Маршала Казакова ул., д.1, к.2",1740\1050,1553\770,-11\-27
"Маршала Казакова ул., д.3, к.1",1753\813,1215\551,-31\-32
"Маршала Казакова ул., д.5, к.1а","1468,8\702","1256,7\732",-14\4
"Маршала Казакова ул., д.5, к.1б","2376,1\1300",1804\1266,-24\-3
"Маршала Казакова ул., д.10, к.1а","1924,9\1138","1715,2\1044",-11\-8
"Маршала Казакова ул., д.10, к.1б","1539,5\947",1909\1274,24\35
"Маршала Казакова ул., д.10, к.1в","2056,5\1127","1689,08\1039",-18\-8
"Маршала Казакова ул., д.10, к.1д","1827,4\1017","1144,81\933",-37\-8
"Маршала Казакова ул., д.13",820\440,722\416,-12\-5
"Метростроевцев ул., д.2","516,8\340",0\399,-100\17
"Метростроевцев ул., д.3",146\75,117\66,-20\-12
"Морской пехоты ул., д.4",2822\1662,2241\1350,-21\-19
"Морской пехоты ул., д.6, к.1","1286,1\400","1263,8\433",-2\8
"Морской пехоты ул., д.10, к.1",2313\1372,2073\1108,-10\-19
"Морской пехоты ул., д.14",1512\885,1496\902,-1\2
"Народного ополчения пр., д.7",476\215,512\244,8\13
"Новаторов бул., д.1","345,6\273",144\135,-58\-51
"Новаторов бул., д.3",149\80,123\71,-17\-11
"Новоовсянниковская ул., д.9",92\48,83\36,-10\-25
"Новоовсянниковская ул., д.13",78\40,101\52,29\30
"Новостроек ул., д.8",87\57,102\55,17\-4
"Новостроек ул., д.20",197\121,151\106,-23\-12
"Новостроек ул., д.25",204\119,"140,25\82",-31\-31
"Новостроек ул., д.27",40\21,50\27,25\29
"Новостроек ул., д.28",175\126,122\68,-30\-46
"Новостроек ул., д.29","89,25\57","92,65\60",4\5
"Новостроек ул., д.31","289,41\0","289,41\0",0\-
"Новостроек ул., д.33",110\65,96\60,-13\-8
"Новостроек ул., д.35","178,5\88","192,1\121",8\38
"Оборонная ул., д.3",330\187,126\85,-62\-55
"Оборонная ул., д.4",406\264,662\300,63\14
"Оборонная ул., д.5",652\429,357\230,-45\-46
"Оборонная ул., д.6",197\40,77\17,-61\-58
"Оборонная ул., д.7/20",201\115,43\29,-79\-75
"Оборонная ул., д.14",72\36,82\41,14\14
"Оборонная ул., д.15",1\1,1\1,0\0
"Оборонная ул., д.17/13",83\47,111\62,34\32
"Оборонная ул., д.19",27\20,116\71,330\255
"Оборонная ул., д.20/18",72\41,52\31,-28\-24
"Оборонная ул., д.23/17",108\54,74\38,-31\-30
"Оборонная ул., д.27",91\46,73\38,-20\-17
"Огородный пер., д.4, к.3",424\241,432\273,2\13
"Огородный пер., д.6, к.1",163\82,191\95,17\16
"Промышленная ул., д.12",100\65,74\56,-26\-14
"Промышленная ул., д.26",296\154,296\154,0\0
"Промышленная ул., д.28",31\16,45\22,45\38
"Промышленная ул., д.30",14\7,14\7,0\0
"Промышленная ул., д.34",108\56,85\45,-21\-20
"Промышленная ул., д.36",59\30,60\29,2\-3
"Промышленная ул., д.38",111\33,7\5,-94\-85
"Севастопольская ул., д.6",97\48,110\54,13\13
"Севастопольская ул., д.34",87\42,27\15,-69\-64
"Стачек пр., д.1",539\423,525\500,-3\18
"Стачек пр., д.2/2",82\42,84\44,2\5
"Стачек пр., д.4/1","163,4\0","163,4\0",0\-
"Стачек пр., д.6","178,48\80","112,24\53",-37\-34
"Стачек пр., д.8/2",67\42,37\30,-45\-29
"Стачек пр., д.8а",772\228,504\131,-35\-43
"Стачек пр., д.9",325\164,331\168,2\2
"Стачек пр., д.10",185\159,104\120,-44\-25
"Стачек пр., д.11","451,656\319","229,272\193",-49\-39
"Стачек пр., д.17","257,129\125","222,99\112",-13\-10
"Стачек пр., д.19",1518\710,1502\642,-1\-10
"Стачек пр., д.21","2409,57\970","3702,56\1551",54\60
"Стачек пр., д.22",252\160,196\145,-22\-9
"Стачек пр., д.22а",702\276,833\322,19\17
"Стачек пр., д.23",853\439,857\452,0\3
"Стачек пр., д.24","221,69\0","221,69\0",0\-
"Стачек пр., д.29",244\125,231\146,-5\17
"Стачек пр., д.33/2",123\88,60\50,-51\-43
"Стачек пр., д.34, к.2",116\75,85\54,-27\-28
"Стачек пр., д.35",79\57,97\63,23\11
"Стачек пр., д.41",620\399,716\477,15\20
"Стачек пр., д.42",70\54,26\38,-63\-30
"Стачек пр., д.95, к.1",4593\2528,3597\2167,-22\-14
"Стачек пр., д.101, к.1а","1734,7\1004","1352,58\883",-22\-12
"Стачек пр., д.101, к.1б","832,44\885","711,75\681",-14\-23
"Стачек пр., д.101, к.1в",2641\1569,1817\1171,-31\-25
"Стачек пр., д.101, к.1г",1521\1189,963\925,-37\-22
"Стачек пр., д.101, к.1д",1540\859,1139\710,-26\-17
"Стачек пр., д.102",41\37,27\24,-34\-35
"Стачек пр., д.103, к.1","2283,8\2089","1717,72\1855",-25\-11
"Стачек пр., д.105, к.2а",1086\634,1064\687,-2\8
"Стачек пр., д.105, к.2б","2282,6\1458","2028,37\1626",-11\12
"Стачек пр., д.105, к.2в",3229\1538,3208\1662,-1\8
"Стачек пр., д.105, к.2г",1581\1176,1436\1138,-9\-3
"Стачек пр., д.105, к.2д","3466,1\2135","3141,93\2251",-9\5
"Стачек пр., д.105, к.2е","2207,1\1364","1955,44\1342",-11\-2
"Стачек пр., д.105, к.2ж","3316,1\1641",3235\1743,-2\6
"Стачек пр., д.105, к.2з","2225,7\1478","1968,2\1677",-12\13
"Стачек пр., д.107, к.1","1729,9\948","1515,88\794",-12\-16
"Тракторная ул., д.3",60\73,"239,324\0",299\-100
"Тракторная ул., д.4",135\70,69\39,-49\-44
"Тракторная ул., д.4а",283\281,180\166,-36\-41
"Тракторная ул., д.5",342\196,212\129,-38\-34
"Тракторная ул., д.6",88\65,48\49,-45\-25
"Тракторная ул., д.6, к.2",51\30,32\21,-37\-30
"Тракторная ул., д.7",213\116,118\85,-45\-27
"Тракторная ул., д.8",125\100,58\73,-54\-27
"Тракторная ул., д.9",203\135,211\161,4\19
"Тракторная ул., д.10",78\65,41\45,-47\-31
"Тракторная ул., д.12",233\213,140\180,-40\-15
"Тракторная ул., д.13",242\137,122\54,-50\-61
"Тракторная ул., д.15",277\168,175\111,-37\-34
"Трамвайный пр., д.5","229,52\0","229,52\0",0\-
"Трамвайный пр., д.7, к.1",205\167,108\102,-47\-39
"Трамвайный пр., д.7, к.2",529\265,320\158,-40\-40
"Трамвайный пр., д.9, к.1",251\217,134\139,-47\-36
"Трамвайный пр., д.9, к.2",191\100,119\60,-38\-40
"Трамвайный пр., д.11, к.1",76\52,8\5,-89\-90
"Трамвайный пр., д.11, к.2",200\247,89\79,-56\-68
"Трамвайный пр., д.11, к.3","231,12\0","231,116\0",0\-
"Трамвайный пр., д.11, к.6",940\423,586\252,-38\-40
"Трамвайный пр., д.13, к.1",338\0,"338,96\0",0\-
"Трамвайный пр., д.13, к.2",87\66,25\30,-71\-55
"Трамвайный пр., д.13, к.3",127,62,-51
"Трамвайный пр., д.15, к.1",236\200,129\121,-45\-40
"Трамвайный пр., д.15, к.2",141\84,72\48,-49\-43
"Трамвайный пр., д.15, к.3",166\133,59\59,-64\-56
"Трамвайный пр., д.17",84\59,36\34,-57\-42
"Трефолева ул., д.3",830\357,1220\547,47\53
"Трефолева ул., д.5",261\188,267\227,2\21
"Трефолева ул., д.11",50\26,107\59,114\127
"Трефолева ул., д.15",638\355,575\331,-10\-7
"Трефолева ул., д.22/25","2524,1\1141","1776,1\782",-30\-31
"Трефолева ул., д.26",148\78,109\59,-26\-24
"Турбинная ул., д.11",174\94,159\95,-9\1
"Тургеневский пер., д.3","144,628\0","145,199\0",0\-
"Тургеневский пер., д.5",70\46,69\47,-1\2
"Урюпин пер., д.2/6",61\30,7\3,-89\-90
"Урюпин пер., д.5",347\243,216\156,-38\-36
"Швецова ул., д.4",67\34,36\20,-46\-41
"Швецова ул., д.6",127\63,75\38,-41\-40
"Швецова ул., д.10",783\587,381\354,-51\-40
"Швецова ул., д.11",440\238,930\599,111\152
"Шотландская ул., д.3",66\33,61\28,-8\-15
