"Ивана Черных ул., д.3, к.2","162,9\84,9",181\95,11\12
"Ивана Черных ул., д.13а","124,5\74","138,5\81",11\9
"Ивана Черных ул., д.13б","305,35\203,4","406,35\267,4",33\31
"Ивана Черных ул., д.15а","246,65\142,05","322,65\173,05",31\22
"Ивана Черных ул., д.15б","67,7\47","89,7\54",32\15
"Ивана Черных ул., д.19","236,8\155,8","278,8\173,8",18\12
"Канонерский о., д.7","7296,1\3628,2","7177,1\3653,2",-2\1
"Канонерский о., д.8","4874,35\1708,3","4563,35\1627,3",-6\-5
"Канонерский о., д.9","2800,5\1109,25","3025,5\1214,25",8\9
"Канонерский о., д.10","3611,5\1463,25","3276,5\1313,25",-9\-10
"Канонерский о., д.12","827,25\424","767,25\400",-7\-6
"Канонерский о., д.12, к.2","760,4\382,1","697,4\355,1",-8\-7
"Канонерский о., д.13","730,45\478,8","711,45\456,8",-3\-5
"Канонерский о., д.14","543,05\345,95","508,05\318,95",-6\-8
"Канонерский о., д.15","401,508\123",160\81,-60\-34
"Канонерский о., д.16","172,65\102,4","138,65\85,4",-20\-17
"Канонерский о., д.25","276,8\110,4","224,8\88,4",-19\-20
"Корнеева ул., д.2","547,533\310,55",704\330,29\6
"Корнеева ул., д.6","1413,93\326,9","1747,53\476,9",24\46
"Косинова ул., д.5","147,1\0","122,82\0",-17\-
"Косинова ул., д.7","51,52\44,3","56,12\44,3",9\0
"Косинова ул., д.9/9","72,15\45,2","112,15\70,2",55\55
"Косинова ул., д.14, к.1","539,55\332,2","842,55\502,2",56\51
"Косинова ул., д.14, к.2","214,9\171,2","596,9\491,2",178\187
"Краснопутиловская ул., д.16/13","973,09\508,6","1186,37\621,6",22\22
"Краснопутиловская ул., д.18","114,15\69,1","170,15\100,1",49\45
"Краснопутиловская ул., д.20","345,525\206,8","512,975\301,8",48\46
"Краснопутиловская ул., д.26","624,317\351,8","709,457\406,8",14\16
"Краснопутиловская ул., д.28/20","400,176\213,4","503,856\265,4",26\24
"Ленинский пр., д.110, к.1а","583,7\466,55","569,7\444,55",-2\-5
"Ленинский пр., д.110, к.1б","3421,95\2613,75","3023,95\2264,75",-12\-13
"Ленинский пр., д.120, к.2",240\146,294\165,23\13
"Ленинский пр., д.124","3347,87\1589,85","2905\1491,85",-13\-6
"Ленинский пр., д.130, к.2","921,1\441,9","1015,1\485,9",10\10
"Майков пер., д.3",89\55,117\70,31\27
"Майков пер., д.5а",55\30,67\35,22\17
"Майков пер., д.7/1","179\92,5","154\81,5",-14\-12
"Маршала Говорова ул., д.3/7","404,197\0","481,16\0",19\-
"Маршала Говорова ул., д.5/4","473,519\337,45","477,159\335,45",1\-1
"Маршала Говорова ул., д.6/5","175,592\115,35","253,612\156,35",44\36
"Маршала Говорова ул., д.7","183,7\98,15","212,7\114,15",16\16
"Маршала Говорова ул., д.11/3","169,46\96,5","165,784\36,45",-2\-62
