"Маршала Говорова ул., д.16",4125\1730,3891\1605,-6\-7
"Маршала Говорова ул., д.17","53,94\62","41,292\42",-23\-32
"Маршала Говорова ул., д.21",237\187,"212,8\172,2",-10\-8
"Маршала Говорова ул., д.22/10","405,72\303",398\295,-2\-3
"Маршала Говорова ул., д.22, к.2","102,7\103","94,8\93,5",-8\-9
"Маршала Говорова ул., д.23",220\112,"179,2\91,2",-19\-19
"Маршала Говорова ул., д.24",334\257,398\317,19\23
"Маршала Говорова ул., д.26, к.2",287\149,"271,7\146,3",-5\-2
"Маршала Жукова пр., д.18а",899\399,965\441,7\11
"Маршала Жукова пр., д.18б","2069,1\1060","2007,7\962,4",-3\-9
"Маршала Жукова пр., д.18в",2175\1160,3441\1279,58\10
"Маршала Жукова пр., д.18г","1088,78\849","1093,68\872",0\3
"Маршала Жукова пр., д.18д",990\537,"985,76\531,44",0\-1
"Маршала Жукова пр., д.26/16а",759\568,"717,6\547,2",-5\-4
"Маршала Жукова пр., д.26/16б","1481,19\890","1410,8\861",-5\-3
"Маршала Жукова пр., д.26/16в","1199,89\909","1111,6\833,3",-7\-8
"Маршала Жукова пр., д.28, к.1","1628,76\1043","1617\1008,7",-1\-3
"Маршала Жукова пр., д.30, к.2а",1050\630,1023\606,-3\-4
"Маршала Жукова пр., д.30, к.2б",606\159,"564\151,2",-7\-5
"Маршала Жукова пр., д.30, к.2в",2748\1530,"2670,8\1470,85",-3\-4
"Маршала Жукова пр., д.30, к.2г",1250\926,"1183,2\861,6",-5\-7
"Маршала Жукова пр., д.30, к.2д",2630\1430,"2570,4\1408,8",-2\-1
"Маршала Жукова пр., д.30, к.2е",808\653,"758,4\639,4",-6\-2
"Маршала Жукова пр., д.30, к.2ж",1609\989,"1578,5\958,1",-2\-3
"Маршала Жукова пр., д.32, к.1","2930,37\1623","2898,4\1580,7",-1\-3
"Маршала Жукова пр., д.34, к.1а",1393\1047,"1303,9\1010,1",-6\-4
"Маршала Жукова пр., д.34, к.1б",336\68,325\66,-3\-3
"Маршала Жукова пр., д.34, к.1в",1527\1302,"1443,99\1254,76",-5\-4
"Маршала Жукова пр., д.34, к.1г","792,82\583","703,2\534",-11\-8
"Маршала Жукова пр., д.34, к.1д",651\131,627\128,-4\-2
"Маршала Жукова пр., д.34, к.1е",989\198,"951,75\194,3",-4\-2
"Маршала Казакова ул., д.1, к.2",887\868,"870,5\923",-2\6
"Маршала Казакова ул., д.3, к.1",1033\492,1218\594,18\21
"Маршала Казакова ул., д.5, к.1а",441\402,443\381,0\-5
"Маршала Казакова ул., д.5, к.1б","853,2\734","906,3\842",6\15
"Маршала Казакова ул., д.10, к.1а","802,89\767","937,53\749",17\-2
"Маршала Казакова ул., д.10, к.1б","686,07\502",661\465,-4\-7
"Маршала Казакова ул., д.10, к.1в","944,46\538","1068,21\568",13\6
"Маршала Казакова ул., д.10, к.1д","557,37\668","547,81\622,6",-2\-7
"Маршала Казакова ул., д.13","2137,59\691","2349,87\791",10\14
"Метростроевцев ул., д.2","179,55\192","194,8\199",8\4
"Метростроевцев ул., д.3","84,33\56","65,4\0",-22\-100
"Морской пехоты ул., д.4",1548\1121,1659\1202,7\7
"Морской пехоты ул., д.6, к.1","1492,1\510","1636,58\569",10\12
"Морской пехоты ул., д.10, к.1",1553\810,1719\837,11\3
"Морской пехоты ул., д.14",1072\592,1300\727,21\23
"Народного ополчения пр., д.7",341\151,"304,2\133,9",-11\-11
"Новаторов бул., д.1","119,7\187","112,5\219,7",-6\17
"Новаторов бул., д.3",84\55,97\63,15\15
"Новоовсянниковская ул., д.9",17\6,40\21,135\250
"Новоовсянниковская ул., д.13",46\21,26\23,-43\10
"Новоовсянниковская ул., д.19, к.2",31\12,106\58,242\383
"Новостроек ул., д.8",26\12,10\4,-62\-67
"Новостроек ул., д.20",203\129,"187,95\122,85",-7\-5
"Новостроек ул., д.25","224,4\131","217,6\132",-3\1
"Новостроек ул., д.27",20\32,94\30,370\-6
"Новостроек ул., д.28",75\51,"71,5\46,2",-5\-9
