"Канонерский о., д.15",1254\0,1254\0,0\-
"Канонерский о., д.16",166\123,199\123,20\0
"Канонерский о., д.17",75\38,430\0,473\-100
"Канонерский о., д.25",973\570,910\431,-6\-24
"Корнеева ул., д.2","491,59\323","335,59\269",-32\-17
"Корнеева ул., д.6","409,13\289","404,13\301",-1\4
"Косинова ул., д.5",456\0,456\0,0\-
"Косинова ул., д.7","7,65\11",",65\22",-92\100
"Косинова ул., д.9/9",89\44,89\45,0\2
"Косинова ул., д.14, к.1",416\351,336\312,-19\-11
"Косинова ул., д.14, к.2",400\400,638\538,60\35
"Краснопутиловская ул., д.16/13","861,74\404","793,74\470",-8\16
"Краснопутиловская ул., д.18",84\47,88\52,5\11
"Краснопутиловская ул., д.20",266\128,261\126,-2\-2
"Краснопутиловская ул., д.26","238,54\238","268,54\229",13\-4
"Краснопутиловская ул., д.28/20","765,42\448","742,42\432",-3\-4
"Ленинский пр., д.110, к.1а",635\415,412\240,-35\-42
"Ленинский пр., д.110, к.1б",2459\2540,1713\1835,-30\-28
"Ленинский пр., д.120, к.2",238\143,113\153,-53\7
"Ленинский пр., д.124","3298,33\1283","3339,33\1280",1\0
"Майков пер., д.3",173\0,173\0,0\-
"Майков пер., д.5а",142\0,142\0,0\-
"Майков пер., д.7/1",47\25,97\48,106\92
"Маршала Говорова ул., д.5/4","458,98\415","346,98\361",-24\-13
"Маршала Говорова ул., д.6/5","156,61\199","85,61\155",-45\-22
"Маршала Говорова ул., д.7",332\197,238\164,-28\-17
"Маршала Говорова ул., д.11/3",443\227,443\227,0\0
"Маршала Говорова ул., д.15",110\129,61\97,-45\-25
"Маршала Говорова ул., д.16","3554,1\1877","2689,1\1523",-24\-19
"Маршала Говорова ул., д.17","91,77\132","75,77\133",-17\1
"Маршала Говорова ул., д.21",377\233,294\206,-22\-12
"Маршала Говорова ул., д.22, к.2",79\59,82\68,4\15
"Маршала Говорова ул., д.23",299\151,343\176,15\17
"Маршала Говорова ул., д.24",354\270,410\350,16\30
"Маршала Говорова ул., д.26, к.2",250\125,524\265,110\112
"Маршала Жукова пр., д.18а",497\400,346\305,-30\-24
"Маршала Жукова пр., д.18б","2453,11\1322","1788,11\962",-27\-27
"Маршала Жукова пр., д.18в",2910\1516,2052\1103,-29\-27
"Маршала Жукова пр., д.18г","637,96\833","429,96\625",-33\-25
"Маршала Жукова пр., д.18д",324\483,227\381,-30\-21
"Маршала Жукова пр., д.26/16а",899\735,580\488,-35\-34
"Маршала Жукова пр., д.26/16б","1575,92\1282","1111,92\978",-29\-24
"Маршала Жукова пр., д.26/16в","1740,86\1812","1064,86\1069",-39\-41
"Маршала Жукова пр., д.28, к.1","2921,65\1497","2048,65\1001",-30\-33
"Маршала Жукова пр., д.30, к.2а","1607,29\1415,29",1020\630,-37\-55
"Маршала Жукова пр., д.30, к.2б","899,3\929,3",1056\695,17\-25
