"Маршала Жукова пр., д.34, к.1б",347\90,306\65,-12\-28
"Маршала Жукова пр., д.34, к.1в",2565\1873,2447\1799,-5\-4
"Маршала Жукова пр., д.34, к.1г","1170,1\781","1353,4\874",16\12
"Маршала Жукова пр., д.34, к.1д",672\173,593\126,-12\-27
"Маршала Жукова пр., д.34, к.1е",1317\264,896\192,-32\-27
"Маршала Казакова ул., д.1, к.2",1517\873,1950\1071,29\23
"Маршала Казакова ул., д.3, к.1",1447\443,2395\1306,66\195
"Маршала Казакова ул., д.5, к.1а","1031,4\527","1467,9\773",42\47
"Маршала Казакова ул., д.5, к.1б","1586,7\968","2173,5\1284",37\33
"Маршала Казакова ул., д.10, к.1а","2070,1\1257","1433,5\826",-31\-34
"Маршала Казакова ул., д.10, к.1б","2161,2\1147","2155,2\1128",0\-2
"Маршала Казакова ул., д.10, к.1в","1921,6\1118",1588\830,-17\-26
"Маршала Казакова ул., д.10, к.1д","1829,5\982","765,27\911",-58\-7
"Маршала Казакова ул., д.13",2509\756,2728\836,9\11
"Метростроевцев ул., д.2","347,7\238","341,05\216",-2\-9
"Метростроевцев ул., д.3",109\64,139\73,28\14
"Морской пехоты ул., д.4",2152\1260,2451\1403,14\11
"Морской пехоты ул., д.6, к.1","1364,8\409","1437,1\412",5\1
"Морской пехоты ул., д.10, к.1",1779\813,2754\1420,55\75
"Морской пехоты ул., д.14",2169\728,1652\899,-24\23
"Новаторов бул., д.1",207\250,"256,5\183",24\-27
"Новаторов бул., д.3",119\66,93\53,-22\-20
"Новоовсянниковская ул., д.9",120\85,101\31,-16\-64
"Новоовсянниковская ул., д.13",45\24,57\29,27\21
"Новостроек ул., д.8",174\110,68\45,-61\-59
"Новостроек ул., д.20",209\127,182\102,-13\-20
"Новостроек ул., д.25","235,45\144","210,8\122",-10\-15
"Новостроек ул., д.27",200\0,50\28,-75\-
"Новостроек ул., д.28",206\124,224\129,9\4
"Новостроек ул., д.29",153\100,"132,6\78",-13\-22
"Новостроек ул., д.31","232,05\141","266,9\0",15\-100
"Новостроек ул., д.33",127\74,104\58,-18\-22
"Новостроек ул., д.35","123,25\74","127,5\85",3\15
"Оборонная ул., д.3",283\163,222\119,-22\-27
"Оборонная ул., д.4",446\227,528\264,18\16
"Оборонная ул., д.5",593\341,539\297,-9\-13
"Оборонная ул., д.6",248\9,248\9,0\0
"Оборонная ул., д.7/20",60\48,190\69,217\44
"Оборонная ул., д.14",142\71,100\51,-30\-28
"Оборонная ул., д.15",1\0,1\1,0\-
"Оборонная ул., д.17/13",66\42,75\47,14\12
"Оборонная ул., д.19","242,5\0","242,5\0",0\-
"Оборонная ул., д.20/18",44\28,46\25,5\-11
"Оборонная ул., д.23/17",79\40,57\29,-28\-28
"Оборонная ул., д.27",74\38,57\29,-23\-24
"Огородный пер., д.4, к.3",418\243,353\197,-16\-19
"Огородный пер., д.6, к.1",181\93,133\68,-27\-27
"Промышленная ул., д.12",229\0,73\38,-68\-
"Промышленная ул., д.26",106\62,106\62,0\0
"Промышленная ул., д.28",62\31,67\35,8\13
"Промышленная ул., д.30",14\8,13\6,-7\-25
"Промышленная ул., д.34",63\32,43\22,-32\-31
"Промышленная ул., д.36",35\47,110\25,214\-47
"Промышленная ул., д.38",35\17,32\16,-9\-6
"Севастопольская ул., д.6",150\10,89\43,-41\330
"Севастопольская ул., д.34",77\32,41\22,-47\-31
"Стачек пр., д.1",559\478,526\385,-6\-19
"Стачек пр., д.2/2",104\46,76\38,-27\-17
"Стачек пр., д.4/1",197\0,197\0,0\-
"Стачек пр., д.6",437\183,"172,04\74",-61\-60
"Стачек пр., д.8/2",17\26,20\29,18\12
"Стачек пр., д.8а",539\190,525\164,-3\-14
"Стачек пр., д.9",375\188,237\120,-37\-36
"Стачек пр., д.10",155\127,168\114,8\-10
"Стачек пр., д.11","351,288\254","301,104\193",-14\-24
"Стачек пр., д.17","663,272\230","575,486\200",-13\-13
"Стачек пр., д.19",1696\737,1762\821,4\11
"Стачек пр., д.21","2410,65\932","2717,91\583",13\-37
"Стачек пр., д.22",214\173,199\118,-7\-32
"Стачек пр., д.22а",792\307,539\200,-32\-35
"Стачек пр., д.23",803\410,547\257,-32\-37
"Стачек пр., д.24",266\0,266\0,0\-
"Стачек пр., д.29",202\115,212\109,5\-5
"Стачек пр., д.33/2",156\93,89\55,-43\-41
"Стачек пр., д.34, к.2",44\51,167\66,280\29
"Стачек пр., д.35",34\23,31\18,-9\-22
"Стачек пр., д.41",552\454,524\318,-5\-30
"Стачек пр., д.42",28\31,37\32,32\3
"Стачек пр., д.95, к.1",3387\2056,3980\2596,18\26
"Стачек пр., д.101, к.1а","1989,9\1056","1734,5\929",-13\-12
"Стачек пр., д.101, к.1б","935,55\1030","701,91\692",-25\-33
"Стачек пр., д.101, к.1в",2667\1516,2704\1309,1\-14
"Стачек пр., д.101, к.1г",1647\1037,2275\1497,38\44
"Стачек пр., д.101, к.1д",1289\727,1852\746,44\3
"Стачек пр., д.102",46\45,53\46,15\2
"Стачек пр., д.103, к.1","2522,5\2181","3499,7\2788",39\28
"Стачек пр., д.105, к.2а",1143\717,1278\709,12\-1
"Стачек пр., д.105, к.2б","1986,9\1293","2248,3\2190",13\69
"Стачек пр., д.105, к.2в",3336\1667,3485\1619,4\-3
"Стачек пр., д.105, к.2г",1886\1069,2467\1384,31\29
