"МАРШАЛА ГОВОРОВА УЛ., д.21",409\273,303\186,-26\-32
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2",99\242,215\207,117\-14
"МАРШАЛА ГОВОРОВА УЛ., д.23",541\336,384\216,-29\-36
"МАРШАЛА ГОВОРОВА УЛ., д.24",502\364,497\351,-1\-4
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2",175\104,169\107,-3\3
"МАРШАЛА ЖУКОВА ПР., д.18А",444\360,335\279,-25\-23
"МАРШАЛА ЖУКОВА ПР., д.18Б",1576\829,1400\803,-11\-3
"МАРШАЛА ЖУКОВА ПР., д.18В",1961\1164,2788\966,42\-17
"МАРШАЛА ЖУКОВА ПР., д.18Г",369\458,352\381,-5\-17
"МАРШАЛА ЖУКОВА ПР., д.18Д",218\1000,240\1006,10\1
"МАРШАЛА ЖУКОВА ПР., д.26/16А",573\584,739\724,29\24
"МАРШАЛА ЖУКОВА ПР., д.26/16Б",1241\777,1451\896,17\15
"МАРШАЛА ЖУКОВА ПР., д.26/16В",1610\1244,1673\1215,4\-2
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1",1989\1013,1959\1033,-2\2
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",1020\720,990\750,-3\4
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б",1261\974,1311\945,4\-3
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В",2696\1535,2573\1563,-5\2
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г",1166\850,1091\787,-6\-7
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д",2300\1670,1804\851,-22\-49
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е",1006\800,981\718,-2\-10
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж",1711\1132,1722\685,1\-39
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1",2171\1480,2865\1886,32\27
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А",998\826,1057\685,6\-17
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",299\68,290\72,-3\6
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В",1407\1399,1491\1407,6\1
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г",741\314,623\321,-16\2
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",579\131,560\138,-3\5
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е",878\198,852\214,-3\8
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2",1276\748,1099\653,-14\-13
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",1479\957,1258\683,-15\-29
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А",666\555,618\495,-7\-11
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б",1469\994,1294\844,-12\-15
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А",1758\1130,1205\725,-31\-36
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б",1355\615,356\481,-74\-22
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В",1135\976,1032\742,-9\-24
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д",805\176,638\141,-21\-20
"МАРШАЛА КАЗАКОВА УЛ., д.13",2149\780,1666\717,-22\-8
"МЕТРОСТРОЕВЦЕВ УЛ., д.2",0\202,0\199,-\-1
"МЕТРОСТРОЕВЦЕВ УЛ., д.3",115\56,118\51,3\-9
"МОРСКОЙ ПЕХОТЫ УЛ., д.4",2597\1765,2350\1392,-10\-21
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1",1760\494,1522\526,-14\6
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1",2788\1356,2523\1232,-10\-9
"МОРСКОЙ ПЕХОТЫ УЛ., д.14",3500\743,3500\602,0\-19
"НОВАТОРОВ БУЛЬВАР, д.1",213\267,187\297,-12\11
"НОВАТОРОВ БУЛЬВАР, д.3",200\116,189\196,-6\69
"НОВООВСЯННИКОВСКАЯ УЛ., д.9",200\100,201\101,1\1
"НОВООВСЯННИКОВСКАЯ УЛ., д.13",74\39,18\11,-76\-72
"НОВОСТРОЕК УЛ., д.8",25\18,56\32,124\78
