"ИВАНА ЧЕРНЫХ УЛ., д.15Б","62\50","63\40","2\-20"
"ИВАНА ЧЕРНЫХ УЛ., д.19","289\204","283\196","-2\-4"
"ИВАНА ЧЕРНЫХ УЛ., д.21","193\149","175\116","-9\-22"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","7334\3598","7266\3559","-1\-1"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4571\2142","3766\941","-18\-56"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","3053\1139","2945\1131","-4\-1"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","3432\1315","3404\1289","-1\-2"
"КАНОНЕРСКИЙ ОСТРОВ, д.11, корп.1",,"1212\488","-\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","665\316","575\292","-14\-8"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","796\405","806\394","1\-3"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","540\390","543\365","1\-6"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","407\264","576\339","42\28"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","148\59","178\80","20\36"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","246\69","223\63","-9\-9"
"КОРНЕЕВА УЛ., д.2","699\375","660\359","-6\-4"
"КОРНЕЕВА УЛ., д.6","1493\366","1438\339","-4\-7"
"КОСИНОВА УЛ., д.5","40\20","29\15","-28\-25"
"КОСИНОВА УЛ., д.7","60\52","71\53","18\2"
"КОСИНОВА УЛ., д.9/9","237\129","154\106","-35\-18"
"КОСИНОВА УЛ., д.14, корп.1","712\528","636\477","-11\-10"
"КОСИНОВА УЛ., д.14, корп.2","182\110","195\103","7\-6"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","950\523","923\504","-3\-4"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","150\94","113\65","-25\-31"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","551\347","432\351","-22\1"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","668\374","650\601","-3\61"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","406\215","329\183","-19\-15"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","666\513","661\460","-1\-10"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","2103\1400","2151\1255","2\-10"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","242\156","266\157","10\1"
"ЛЕНИНСКИЙ ПР., д.124","2028\633","2621\651","29\3"
"ЛЕНИНСКИЙ ПР., д.130, корп.2","978\449","1056\500","8\11"
"МАЙКОВ ПЕР., д.3","110\73","109\64","-1\-12"
"МАЙКОВ ПЕР., д.5А","119\50","92\33","-23\-34"
"МАЙКОВ ПЕР., д.7/1","166\84","183\96","10\14"
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","551\0","535\0","-3\-"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","448\326","440\290","-2\-11"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","128\77","93\54","-27\-30"
"МАРШАЛА ГОВОРОВА УЛ., д.7","176\95","146\68","-17\-28"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","486\0","133\24","-73\-"
"МАРШАЛА ГОВОРОВА УЛ., д.15","100\110","103\97","3\-12"
"МАРШАЛА ГОВОРОВА УЛ., д.16","4017\1927","4016\1922","0\0"
"МАРШАЛА ГОВОРОВА УЛ., д.17","92\71","79\61","-14\-14"
"МАРШАЛА ГОВОРОВА УЛ., д.21","435\228","419\211","-4\-7"
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","702\474","655\442","-7\-7"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","209\156","177\126","-15\-19"
"МАРШАЛА ГОВОРОВА УЛ., д.23","125\61","101\50","-19\-18"
"МАРШАЛА ГОВОРОВА УЛ., д.24","659\408","633\392","-4\-4"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","319\161","290\127","-9\-21"
"МАРШАЛА ЖУКОВА ПР., д.18А","1223\579","1162\550","-5\-5"
"МАРШАЛА ЖУКОВА ПР., д.18Б","2165\787","2077\700","-4\-11"
"МАРШАЛА ЖУКОВА ПР., д.18В","3140\1708","3079\1669","-2\-2"
"МАРШАЛА ЖУКОВА ПР., д.18Г","1851\1085","1826\1026","-1\-5"
"МАРШАЛА ЖУКОВА ПР., д.18Д","1365\629","1324\576","-3\-8"
"МАРШАЛА ЖУКОВА ПР., д.20","3971\1402","3936\1360","-1\-3"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","1117\824","1104\772","-1\-6"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","2029\1149","2016\1144","-1\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","2204\1327","2201\1286","0\-3"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","2550\1669","2544\1607","0\-4"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",,"1764\1410","-\-"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","725\198","715\185","-1\-7"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","3773\2157","3607\2068","-4\-4"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1938\1244","1924\1210","-1\-3"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","2255\2560","3424\1340","52\-48"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","1415\1002","1397\944","-1\-6"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","2337\1288","2391\1206","2\-6"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","4288\2296","4406\2275","3\-1"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","2075\1382","2134\1319","3\-5"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","469\92","468\88","0\-4"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","2368\2212","2476\2175","5\-2"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","1608\1066","1771\974","10\-9"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","907\179","904\170","0\-5"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","1374\271","1369\259","0\-4"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1636\1216","1590\1161","-3\-5"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1587\714","1458\623","-8\-13"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","860\597","810\521","-6\-13"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1496\1123","1645\1108","10\-1"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1430\1602","1390\1277","-3\-20"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","1569\931","1815\864","16\-7"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1907\942","1847\876","-3\-7"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","1616\1147","1574\1111","-3\-3"
"МАРШАЛА КАЗАКОВА УЛ., д.13","2443\762","2110\680","-14\-11"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","408\305","427\282","5\-8"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","46\0","46\0","0\-"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","2749\1516","2533\2204","-8\45"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","2348\532","2204\497","-6\-7"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","2198\1224","2168\1209","-1\-1"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1468\720","1451\698","-1\-3"
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","391\174","417\186","7\7"
"НОВАТОРОВ БУЛЬВАР, д.1","310\282","305\244","-2\-13"
"НОВАТОРОВ БУЛЬВАР, д.3","162\103","207\131","28\27"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","14\9","17\10","21\11"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","43\23","62\35","44\52"
"НОВООВСЯННИКОВСКАЯ УЛ., д.17А","18\9","15\8","-17\-11"
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2","56\36","51\33","-9\-8"
"НОВОСТРОЕК УЛ., д.8","33\22","35\24","6\9"
"НОВОСТРОЕК УЛ., д.12","2717\923",",01\,01","-100\-100"
"НОВОСТРОЕК УЛ., д.20","254\160","248\142","-2\-11"
"НОВОСТРОЕК УЛ., д.25","336\199","306\181","-9\-9"
"НОВОСТРОЕК УЛ., д.27","73\42","53\26","-27\-38"
"НОВОСТРОЕК УЛ., д.28","211\98","188\81","-11\-17"
"НОВОСТРОЕК УЛ., д.29","177\104","163\96","-8\-8"
"НОВОСТРОЕК УЛ., д.31","322\188","280\165","-13\-12"
"НОВОСТРОЕК УЛ., д.33","283\184","257\177","-9\-4"
"НОВОСТРОЕК УЛ., д.35","193\60","229\269","19\348"
"ОБОРОННАЯ УЛ., д.3","259\172","228\135","-12\-22"
"ОБОРОННАЯ УЛ., д.4","873\452","798\398","-9\-12"
"ОБОРОННАЯ УЛ., д.5","696\454","544\400","-22\-12"
"ОБОРОННАЯ УЛ., д.6","8\3","21\9","163\200"
"ОБОРОННАЯ УЛ., д.7/20","62\33","61\32","-2\-3"
"ОБОРОННАЯ УЛ., д.14","118\58","122\62","3\7"
"ОБОРОННАЯ УЛ., д.17/13","120\73","85\56","-29\-23"
"ОБОРОННАЯ УЛ., д.19","166\141","162\120","-2\-15"
"ОБОРОННАЯ УЛ., д.20/18","106\58","70\30","-34\-48"
"ОБОРОННАЯ УЛ., д.23/17","157\88","118\56","-25\-36"
"ОБОРОННАЯ УЛ., д.27","113\59","89\45","-21\-24"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","408\301","390\236","-4\-22"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","326\162","206\96","-37\-41"
"ОГОРОДНЫЙ ПЕР., д.6, корп.2","618\333","587\306","-5\-8"
"ОГОРОДНЫЙ ПЕР., д.11","350\144","236\66","-33\-54"
"ПРОМЫШЛЕННАЯ УЛ., д.10","135\67","124\61","-8\-9"
"ПРОМЫШЛЕННАЯ УЛ., д.12","56\55","54\52","-4\-5"
