"ДВИНСКАЯ УЛ., д.14, корп.4",1318\376,1212\352,-8\-6
"ДВИНСКАЯ УЛ., д.16, корп.1","3644,9\1348","3785,3\1426",4\6
"ДВИНСКАЯ УЛ., д.17",601\255,515\233,-14\-9
"ЗАЙЦЕВА УЛ., д.3","329,4\532","311,9\520",-5\-2
"ЗАЙЦЕВА УЛ., д.17/23","1297,2\634","1363,9\650",5\3
"ЗАЙЦЕВА УЛ., д.18/16","157,44\96","203,52\130",29\35
"ЗАЙЦЕВА УЛ., д.19/18",206\186,205\212,0\14
"ЗАЙЦЕВА УЛ., д.20",342\227,343\235,0\4
"ЗАЙЦЕВА УЛ., д.21",19\12,29\16,53\33
"ЗАЙЦЕВА УЛ., д.22/13","880,8\378","1103,6\556",25\47
"ЗАЙЦЕВА УЛ., д.25",88\1,65\49,-26\4800
"ЗАЙЦЕВА УЛ., д.26","349,8\0","349,8\0",0\-
"ЗАЙЦЕВА УЛ., д.29",17\29,13\28,-24\-3
"ЗАЙЦЕВА УЛ., д.31",252\189,282\223,12\18
"ЗАЙЦЕВА УЛ., д.32",159\140,142\144,-11\3
"ЗАЙЦЕВА УЛ., д.33","216,8\197","231,2\206",7\5
"ЗАЙЦЕВА УЛ., д.34",106\50,149\71,41\42
"ЗАЙЦЕВА УЛ., д.36",329\207,274\174,-17\-16
"ЗАЙЦЕВА УЛ., д.37","152,2\108",159\110,4\2
"ЗАЙЦЕВА УЛ., д.39",181\143,177\151,-2\6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","92,1\72,9",72\62,-22\-15
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6",188\228,180\219,-4\-4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8",253\237,246\243,-3\3
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10",151\176,114\157,-25\-11
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",120\156,88\101,-27\-35
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14",205\234,184\248,-10\6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16",446\220,453\226,2\3
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18",203\236,172\247,-15\5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20",61\97,40\75,-34\-23
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22",62\76,59\75,-5\-1
