"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","273\122","264\148","-3\21"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","72\43","86\60","19\40"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","88\76","57\71","-35\-7"
"ИВАНА ЧЕРНЫХ УЛ., д.1","24\15","9\3","-63\-80"
"ИВАНА ЧЕРНЫХ УЛ., д.13","296\332","213\10","-28\-97"
"ИВАНА ЧЕРНЫХ УЛ., д.15","165\175","43\24","-74\-86"
"ИВАНА ЧЕРНЫХ УЛ., д.19","216\234","1\35","-100\-85"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","12222\18819","12354\16187","1\-14"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","3437\1238","3188\1110","-7\-10"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","2130\855","1725\750","-19\-12"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","2535\1070","2235\1110","-12\4"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","722\359","517\263","-28\-27"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","621\309","549\288","-12\-7"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","210\296","218\238","4\-20"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","174\154","92\97","-47\-37"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","129\83","80\89","-38\7"
"КАНОНЕРСКИЙ ОСТРОВ, д.17","273\89","109\56","-60\-37"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","943\447","715\335","-24\-25"
"КОРНЕЕВА УЛ., д.2","345\237","623\1321","81\457"
"КОРНЕЕВА УЛ., д.6","174\249","592,52\469","241\88"
"КОСИНОВА УЛ., д.5","23\12","42\23","83\92"
"КОСИНОВА УЛ., д.7","12\19","6\17","-50\-11"
"КОСИНОВА УЛ., д.9/9","82\41","31\15","-62\-63"
"КОСИНОВА УЛ., д.14, корп.1","761\646","771\0","1\-100"
"КОСИНОВА УЛ., д.14, корп.2","35\29","40\31","14\7"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","75\39","53\29","-29\-26"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","123\71","169\103","37\45"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","25\145","208\117","732\-19"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","359\281","168,48\225","-53\-20"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","881\522","655,78\403","-26\-23"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","493\315","466\321","-5\2"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","1842\1655","554\1911","-70\15"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","149\100","121\94","-19\-6"
"ЛЕНИНСКИЙ ПР., д.124","3103\1270","2639\1019","-15\-20"
"МАЙКОВ ПЕР., д.3","22\39","18\26","-18\-33"
"МАЙКОВ ПЕР., д.5А","89\59","80\51","-10\-14"
"МАЙКОВ ПЕР., д.7/1","57\36","84\42","47\17"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","702\536","413,7\382","-41\-29"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","143\183","67,75\151","-53\-17"
"МАРШАЛА ГОВОРОВА УЛ., д.7","154\106","187\116","21\9"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","96\224","211\195","120\-13"
"МАРШАЛА ГОВОРОВА УЛ., д.15","55\56","59\99","7\77"
"МАРШАЛА ГОВОРОВА УЛ., д.16","7117\2830","2249,54\1293","-68\-54"
"МАРШАЛА ГОВОРОВА УЛ., д.17","75\140","56,17\125","-25\-11"
"МАРШАЛА ГОВОРОВА УЛ., д.21","303\186","263\160","-13\-14"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","215\207","646,33\426","201\106"
"МАРШАЛА ГОВОРОВА УЛ., д.23","384\216","326\179","-15\-17"
"МАРШАЛА ГОВОРОВА УЛ., д.24","497\351","180\242","-64\-31"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","169\107","370\165","119\54"
"МАРШАЛА ЖУКОВА ПР., д.18А","335\279","361\396","8\42"
"МАРШАЛА ЖУКОВА ПР., д.18Б","1400\803","968\682","-31\-15"
"МАРШАЛА ЖУКОВА ПР., д.18В","2788\966","245\631","-91\-35"
"МАРШАЛА ЖУКОВА ПР., д.18Г","352\381","356\481","1\26"
"МАРШАЛА ЖУКОВА ПР., д.18Д","240\1006","153\1002","-36\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","739\724","1201\767","63\6"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1451\896","875\768","-40\-14"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1673\1215","1802\1302","8\7"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1959\1033","1783\1022","-9\-1"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А","990\750","810\750","-18\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","1311\945","860\644","-34\-32"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","2573\1563","2046\1485","-20\-5"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1091\787","670\766","-39\-3"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","1804\851","1747\1138","-3\34"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","981\718","862\661","-12\-8"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1722\685","1496\517","-13\-25"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","2865\1886","2109\1516","-26\-20"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","1057\685","1014\863","-4\26"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","290\72","287\74","-1\3"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","1491\1407","1159\1475","-22\5"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","623\321","645\574","4\79"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","560\138","556\144","-1\4"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","852\214","844\219","-1\2"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1099\653","1078\693","-2\6"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1258\683","1008\347","-20\-49"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","618\495","725\624","17\26"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1294\844","1242\1000","-4\18"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1205\725","1145\584","-5\-19"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","356\481","728\570","104\19"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1032\742","947\918","-8\24"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","638\141","546\123","-14\-13"
"МАРШАЛА КАЗАКОВА УЛ., д.13","1666\717","1559\743","-6\4"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","0\199","0\40","-\-80"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","118\51","25\28","-79\-45"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","2350\1392","2202\1085","-6\-22"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1522\526","1388\491","-9\-7"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","2523\1232","2237\1108","-11\-10"
