"ИВАНА ЧЕРНЫХ УЛ., д.15","139\98","133\92","-4\-6"
"ИВАНА ЧЕРНЫХ УЛ., д.19","104\130","98\126","-6\-3"
"КАЛИНИНА УЛ., д.10","748\0","748\0","0\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","5410\2660","10484\3107","94\17"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","3678,4\1542","3337,98\1231","-9\-20"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","1560\660","2670\1050","71\59"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","2235\900","2955\1225","32\36"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","323\160","370\185","15\16"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","665\340","763\400","15\18"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","209\166","266\261","27\57"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","128\122","145\177","13\45"
"КАНОНЕРСКИЙ ОСТРОВ, д.15","1506\0","1506\0","0\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","137\88","171\116","25\32"
"КАНОНЕРСКИЙ ОСТРОВ, д.17","26\14","9\9","-65\-36"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","771\371","996\475","29\28"
"КОРНЕЕВА УЛ., д.2","283,59\205","285,04\198","1\-3"
"КОРНЕЕВА УЛ., д.6","283,13\367","313,34\354","11\-4"
"КОСИНОВА УЛ., д.5","547\0","547\0","0\-"
"КОСИНОВА УЛ., д.7","22\13","16,62\21","-24\62"
"КОСИНОВА УЛ., д.9/9","45\20","34\20","-24\0"
"КОСИНОВА УЛ., д.14, корп.1","257\307","251\301","-2\-2"
"КОСИНОВА УЛ., д.14, корп.2","1410\538","342\550","-76\2"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","701,69\420","674,37\399","-4\-5"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","69\41","66\51","-4\24"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","246\133","273\147","11\11"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","184,75\212","160,38\207","-13\-2"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","635,42\375","701,07\402","10\7"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","422\258","414\249","-2\-3"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","1716\1592","1630\1951","-5\23"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","149\100","121\94","-19\-6"
"ЛЕНИНСКИЙ ПР., д.124","3054,33\1269","3130,67\1266","2\0"
"МАЙКОВ ПЕР., д.3","207\0","207\0","0\-"
"МАЙКОВ ПЕР., д.5А","170\0","170\0","0\-"
"МАЙКОВ ПЕР., д.7/1","90\44","87\38","-3\-14"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","362,98\335","264,87\313","-27\-7"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","69,61\150","63,85\143","-8\-5"
"МАРШАЛА ГОВОРОВА УЛ., д.7","251\163","199\142","-21\-13"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","2325,56\0","2296,02\0","-1\-"
"МАРШАЛА ГОВОРОВА УЛ., д.15","56\75","69\99","23\32"
"МАРШАЛА ГОВОРОВА УЛ., д.16","1470,76\1164","1796,17\1248","22\7"
"МАРШАЛА ГОВОРОВА УЛ., д.17","31,77\91","66,68\106","110\16"
"МАРШАЛА ГОВОРОВА УЛ., д.21","196\123","255\147","30\20"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","77\60","72\54","-6\-10"
"МАРШАЛА ГОВОРОВА УЛ., д.23","227\115","181\100","-20\-13"
"МАРШАЛА ГОВОРОВА УЛ., д.24","333\258","329\252","-1\-2"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","323\154","301\148","-7\-4"
"МАРШАЛА ЖУКОВА ПР., д.18А","320\252","357\304","12\21"
"МАРШАЛА ЖУКОВА ПР., д.18Б","1470,11\199","2200,1\1428","50\618"
"МАРШАЛА ЖУКОВА ПР., д.18В","331\642","499\816","51\27"
"МАРШАЛА ЖУКОВА ПР., д.18Г","325,96\430","409,33\483","26\12"
"МАРШАЛА ЖУКОВА ПР., д.18Д","215\279","163\355","-24\27"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","641\538","592\476","-8\-12"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1900\577","1290,99\906","-32\57"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","951,86\1031","1382,15\1039","45\1"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1963,65\877","1852,27\1016","-6\16"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А","960\570","1050\750","9\32"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","579\490","620\543","7\11"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","2307\1248","2606\1281","13\3"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","818\821","950\893","16\9"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","2052\1192","2071\1296","1\9"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","761\662","713\626","-6\-5"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1249\716","1277\815","2\14"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","2142,96\1297","2167,8\1309","1\1"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","998\744","1002\777","0\4"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","296\81","282\69","-5\-15"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","1069\1037","1063\1072","-1\3"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","482,12\454","508,69\488","6\7"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","572\157","545\132","-5\-16"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","865,89\237","826,98\205","-4\-14"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1155\612","1066\715","-8\17"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1507\602","1478\626","-2\4"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","574,81\411","558,45\554","-3\35"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1033,1\705","1300\986","26\40"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1180,44\701","1205,44\848","2\21"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","739\506","821,93\738","11\46"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","903,54\683","992,2\857","10\25"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","632\137","566,03\304","-10\122"
"МАРШАЛА КАЗАКОВА УЛ., д.13","1595,75\732","1756,56\807,3","10\10"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","53,62\123","51,34\119","-4\-3"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","26\38","24\32","-8\-16"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","2017\983","2168\1116","7\14"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1216,25\519","901,25\446","-26\-14"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","2123\944","2352\1156","11\22"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1434\793","880\519","-39\-35"
"НОВАТОРОВ БУЛЬВАР, д.1","436,6\139","79,9\156","-82\12"
"НОВАТОРОВ БУЛЬВАР, д.3","165\105","120\132","-27\26"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","104\100","119\100","14\0"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","35\18","24\12","-31\-33"
"НОВОСТРОЕК УЛ., д.8","137\26","123\42","-10\62"
"НОВОСТРОЕК УЛ., д.20","118\84","118\79","0\-6"
"НОВОСТРОЕК УЛ., д.25","217\115","245\124","13\8"
"НОВОСТРОЕК УЛ., д.27","1020\0","1020\0","0\-"
"НОВОСТРОЕК УЛ., д.28","116\82","123\87","6\6"
"НОВОСТРОЕК УЛ., д.29","120\69","151\84","26\22"
"НОВОСТРОЕК УЛ., д.31",,,"-\-"
"НОВОСТРОЕК УЛ., д.33","106\69","107\66","1\-4"
"НОВОСТРОЕК УЛ., д.35","127\58","115\74","-9\28"
"ОБОРОННАЯ УЛ., д.3","95\97","89\91","-6\-6"
"ОБОРОННАЯ УЛ., д.4","483\248","647\330","34\33"
"ОБОРОННАЯ УЛ., д.5","400\355","394\350","-2\-1"
