"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","298,5\194,9","291,5\189,9","-2\-3"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","261,1\197,25","273,1\222,25","5\13"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","381,85\282,4","381,85\276,4","0\-2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","538,7\271,45","545,7\275,45","1\1"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","389,45\278,8","412,45\284,8","6\2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","137,25\97,05","167,25\112,05","22\15"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","106,15\72,9","107,15\69,9","1\-4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","290,9\207,8","294,9\200,8","1\-3"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","368,9\241,8","370,9\241,8","1\0"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","404,55\207,6","339,55\198,6","-16\-4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","480,3\309,1","467,3\300,1","-3\-3"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","349,5\195,89","303,5\168,34","-13\-14"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","844,77\429,3","662,07\338,3","-22\-21"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","497\207,75","473,45\206,75","-5\0"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","145,55\79,4","91,55\53,4","-37\-33"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15",,"120,9\67","-\-"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","48,317\35,1","35,227\23,1","-27\-34"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","274,938\173,6","307,458\191,6","12\10"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","541,467\94,85","209,8\81,85","-61\-14"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","119,45\44,6","140,45\45,6","18\2"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","115,5\66,05","112,5\71,05","-3\8"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","49,4\42,25","70,4\42,25","43\0"
"ИВАНА ЧЕРНЫХ УЛ., д.1","65,119\44,55","90,349\56,55","39\27"
"ИВАНА ЧЕРНЫХ УЛ., д.3","217,3\80,3","310,3\140,3","43\75"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","162,9\84,9","181\95","11\12"
"ИВАНА ЧЕРНЫХ УЛ., д.13А","124,5\74","138,5\81","11\9"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","305,35\203,4","406,35\267,4","33\31"
"ИВАНА ЧЕРНЫХ УЛ., д.15А","246,65\142,05","322,65\173,05","31\22"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","67,7\47","89,7\54","32\15"
"ИВАНА ЧЕРНЫХ УЛ., д.19","236,8\155,8","278,8\173,8","18\12"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","7296,1\3628,2","7177,1\3653,2","-2\1"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4874,35\1708,3","4563,35\1627,3","-6\-5"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","2800,5\1109,25","3025,5\1214,25","8\9"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","3611,5\1463,25","3276,5\1313,25","-9\-10"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","827,25\424","767,25\400","-7\-6"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","760,4\382,1","697,4\355,1","-8\-7"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","730,45\478,8","711,45\456,8","-3\-5"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","543,05\345,95","508,05\318,95","-6\-8"
"КАНОНЕРСКИЙ ОСТРОВ, д.15","401,508\123","160\81","-60\-34"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","172,65\102,4","138,65\85,4","-20\-17"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","276,8\110,4","224,8\88,4","-19\-20"
"КОРНЕЕВА УЛ., д.2","547,533\310,55","704\330","29\6"
"КОРНЕЕВА УЛ., д.6","1413,93\326,9","1747,53\476,9","24\46"
"КОСИНОВА УЛ., д.5","147,1\0","122,82\0","-17\-"
"КОСИНОВА УЛ., д.7","51,52\44,3","56,12\44,3","9\0"
"КОСИНОВА УЛ., д.9/9","72,15\45,2","112,15\70,2","55\55"
